text,label
you are beautiful,Safe
hello how are you,Safe
send me your private photos,Predator
you are useless idiot,Harassment
let’s meet secretly don’t tell anyone,Predator
Hi how was your day,Safe
You are so dumb,Cyber Harassment
Don’t tell your parents we are chatting,Predator
Are you attending classes today,Safe
Nobody likes you,Cyber Harassment
Send me your photos secretly,Predator
Let’s complete the assignment together,Safe
You are a loser,Cyber Harassment
You look mature for your age,Predator
Good morning have a nice day,Safe
Stop talking nonsense,Cyber Harassment
Let's talk privately where no one can see,Predator
Did you watch the movie yesterday,Safe
You are useless,Cyber Harassment
I can buy gifts for you if you listen to me,Predator
Happy birthday enjoy your day,Safe
I hate you so much,Cyber Harassment
Do you stay alone at home,Predator
Are you free to talk later,Safe
You are pathetic,Cyber Harassment
Let's meet somewhere without telling anyone,Predator
I liked your drawing it looks great,Safe
Shut up idiot,Cyber Harassment
You can trust me keep this conversation secret,Predator
Let's play an online game,Safe
You are the worst person,Cyber Harassment
Send me pictures wearing something special,Predator
Thank you for helping me,Safe
Everyone laughs at you,Cyber Harassment
Tell me when your parents are not at home,Predator
What are your hobbies,Safe
You are disgusting,Cyber Harassment
I want to see you on video alone,Predator
Do you like music,Safe
You don't deserve friends,Cyber Harassment
Don't share our chats with friends,Predator
Let's study for exams together,Safe
Your work is trash,Cyber Harassment
You are special to me keep this between us,Predator
Hope you are doing well,Safe
Go away nobody wants you here,Cyber Harassment
I can give you money if you send pictures,Predator
See you at college tomorrow,Safe
You always mess things up,Cyber Harassment
Let’s move this chat to a private platform,Predator
Did you complete homework,Safe
You are embarrassing,Cyber Harassment
I want to meet you alone tonight,Predator
How is your family,Safe
You are such a failure,Cyber Harassment
Tell me your address I will visit secretly,Predator
Let's join group discussion,Safe
Your posts are annoying,Cyber Harassment
Remove your clothes and send pictures,Predator
I enjoyed chatting with you,Safe
You are good for nothing,Cyber Harassment
You are my secret friend,Predator
Stay safe and take care,Safe
You look so stupid,Cyber Harassment
Promise me you won’t tell anyone about us,Predator
text,label
How was your exam today,Safe
Good luck for your presentation,Safe
Let me know if you need notes,Safe
Are you coming to the seminar,Safe
Nice to meet you today,Safe
Take care and rest well,Safe
All the best for tomorrow,Safe
Can we discuss the project later,Safe
Thanks for sharing the information,Safe
Hope you reach home safely,Safe
Let’s prepare together for the test,Safe
Your explanation was very clear,Safe
See you in the library later,Safe
I liked your idea in class,Safe
Did you understand today’s topic,Safe
Wish you a great weekend,Safe
Let’s join the online meeting,Safe
Call me if you need help,Safe
Your work looks good,Safe
Thanks for your support,Safe
Did you eat lunch,Safe
Hope everything is going well,Safe
Let’s revise the syllabus,Safe
Good job on the assignment,Safe
Happy to work with you,Safe
Please share the timetable,Safe
Can you explain this problem,Safe
Let’s attend the workshop,Safe
I appreciate your effort,Safe
Have a safe journey,Safe
Don’t tell anyone about our chats,Predator
You can trust me more than others,Predator
Let’s keep this friendship private,Predator
I understand you better than your family,Predator
You don’t need to share this with parents,Predator
We should talk when no one is around,Predator
I can help you secretly,Predator
You are more mature than people your age,Predator
Let’s move our chats somewhere private,Predator
Others won’t understand you like I do,Predator
I’ll take care of you don’t worry,Predator
Keep our talks just between us,Predator
You don’t need friends when you have me,Predator
I can give you special attention,Predator
Don’t trust anyone else,Predator
Talk to me late at night quietly,Predator
You are my favorite person here,Predator
I can solve your problems secretly,Predator
You should hide this friendship,Predator
I’ll reward you if you listen to me,Predator
No need to tell teachers about this,Predator
I know what’s best for you,Predator
Let’s meet without informing anyone,Predator
You can depend only on me,Predator
We should chat when others are asleep,Predator
This bond should stay hidden,Predator
I’ll protect you from everyone,Predator
You don’t need to ask permission,Predator
I’ll keep your secrets safe,Predator
Promise me you won’t tell anyone,Predator
You are really stupid,Cyber Harassment
Nobody cares about you,Cyber Harassment
You always fail at everything,Cyber Harassment
Your ideas are nonsense,Cyber Harassment
You should stop talking,Cyber Harassment
Everyone hates you,Cyber Harassment
You are a complete joke,Cyber Harassment
Your presence is annoying,Cyber Harassment
You embarrass yourself daily,Cyber Harassment
You are totally useless,Cyber Harassment
People laugh at you,Cyber Harassment
You don’t deserve respect,Cyber Harassment
You ruin everything,Cyber Harassment
Your voice is irritating,Cyber Harassment
No one wants you here,Cyber Harassment
You are mentally weak,Cyber Harassment
You are a burden,Cyber Harassment
Your opinions are trash,Cyber Harassment
You should quit trying,Cyber Harassment
You are a big failure,Cyber Harassment
Your posts are garbage,Cyber Harassment
Stop pretending to be smart,Cyber Harassment
You make everyone uncomfortable,Cyber Harassment
You are worthless,Cyber Harassment
Nobody will miss you,Cyber Harassment
You don’t belong here,Cyber Harassment
You are pathetic,Cyber Harassment
Your existence is pointless,Cyber Harassment
You can’t do anything right,Cyber Harassment
Just disappear,Cyber Harassment
...
